Site,BulkBGroup,BMEAN,BSD,BN,RhizoBGroup,RMEAN,RSD,RN
1,A1B,935.6666667,172.0474741,3,A1R,586,98.726896,3
2,A2B,1022,109.1604324,3,A2R,734,243.9118693,3
3,A3B,1066,180.9336895,3,A3R,655.6666667,104.8061703,3
4,A4B,1012.666667,184.2778699,3,A4R,655.6666667,101.2933035,3
5,C1B,2015.8,371.6795663,5,C1R,2253.8,157.458566,5
6,D1B,305.3333333,61.0437002,3,D1R,239,38,3
7,D2B,252.6666667,44.0605644,3,D2R,249.3333333,25.9679289,3
8,D3B,249.3333333,34.3850743,3,D3R,197,19.1572441,3
9,D4B,248.6666667,29.5014124,3,D4R,249.6666667,19.1398363,3
10,D5B,251.3333333,23.3523732,3,D5R,248.3333333,22.0302822,3
11,G1B,514.5,102.3344191,4,G1R,525,37.103459,4
12,G2B,374.1666667,69.6775909,6,G2R,619.3333333,73.8530072,6
13,G3B,447,72.825133,5,G3R,551.2,62.1747537,5
14,G4B,367.6,99.3342841,5,G4R,583.4,50.3865061,5
15,H1B,804.5,31.458968,4,H1R,197,24.1522946,4
16,H2B,792.5,44.1248229,4,H2R,325.25,34.8843327,4
17,H3B,804.5,67.6288893,4,H3R,409.3333333,29.4844592,3
18,H4B,849,41.8011164,4,H4R,350.75,63.7514706,4
19,H5B,785,136.1861471,4,H5R,546.25,96.4481726,4
20,J1B,597,58.1291665,3,J1R,883,36.7559519,3
21,J2B,684,181.019336,2,J2R,772.5,89.8025612,2
22,J3B,603.6666667,36.5558933,3,J3R,763.3333333,56.0386771,3
23,J6B,582.3333333,15.011107,3,J6R,594,47.6969601,3
24,J7B,932,21.7025344,3,J7R,809.6666667,175.8474718,3
25,J8B,938,145.6639969,2,J8R,854,0,2
26,J9B,586.3333333,26.7644042,3,J9R,715.6666667,11.8462371,3
27,J10B,594.3333333,82.5853094,3,J10R,907.3333333,93.9272768,3
28,J11B,512.6666667,39.5137107,3,J11R,933.6666667,57.4572305,3
29,J12B,648.3333333,47.648015,3,J12R,939,5.2915026,3
30,K1B,948,59.853989,5,K1R,827.4,45.9760807,5
31,K2B,1049.4,24.9158584,5,K2R,891.6,39.0550893,5
32,K3B,1033.4,42.5946006,5,K3R,813,29.0430715,5
33,K4B,1069.4,25.3929124,5,K4R,881.2,36.7926623,5
34,K5B,1056.6,42.0511593,5,K5R,864,22.4722051,5
35,K6B,1073.4,42.4122624,5,K6R,863.4,26.0153801,5
36,K7B,968,44.7493017,5,K7R,753.4,28.7454344,5
37,K8B,1091.4,38.4096342,5,K8R,1064.4,43.4430662,5
38,K9B,1051.6,36.6032785,5,K9R,949,91.4549069,5
39,L1B,891.3333333,564.6152082,3,L1R,617,90.967027,3
40,L2B,590,28.618176,3,L2R,493.3333333,93.4309014,3
41,L4B,498,118.6970935,3,L4R,445,88.2213126,3
42,L5B,845.6666667,177.5790904,3,L5R,775.6666667,126.0647982,3
43,L6B,522,57.1664237,3,L6R,516.3333333,63.8853139,3
44,M1B,335,121.870423,6,M1R,542.3333333,222.1897087,6
45,M2B,254.7777778,94.9983918,9,M2R,236.1111111,150.3532877,9
46,N1B,522.5,210.010714,2,N1R,681.75,442.8125074,4
47,N1B,522.5,210.010714,2,N2R,522.5,127.4427976,4
48,N1B,522.5,210.010714,2,N3R,408,279.2955424,4
49,O1B,415.2,107.4834871,5,O1R,447.4,167.4837306,5
50,O2B,339.8,78.3275175,5,O2R,307.6,92.0342328,5
51,O3B,411.2,127.0854044,5,O3R,315.6,101.8322149,5
