,variable,Mean,Group,n,sd,se
1,Total,5.322898107,bulk,558,0.795603187,0.033680569
2,Cropland,5.400545735,bulk,367,0.763971409,0.039878983
3,Forest,5.060313131,bulk,55,0.644562573,0.0869128
4,Grassland,5.021658046,bulk,87,0.867719583,0.093029304
5,Cucurbitaceae,5.979652778,bulk,12,0.451391991,0.130305644
6,Gramineae,5.353658187,bulk,228,0.814361415,0.053932402
7,Leguminosae,5.523634058,bulk,46,0.513455876,0.075704939
8,Solanaceae,5.659108982,bulk,41,0.520628328,0.081308485
9,Dryland,5.492057202,bulk,308,0.716637663,0.040834221
10,Wetland,4.922824859,bulk,59,0.829486567,0.107989953
11,Chemical,5.416488321,bulk,88,0.840020711,0.089546509
12,Organic,5.539054233,bulk,42,0.733269609,0.113145957
13,Forbs,5.574572917,bulk,16,0.627346505,0.156836626
14,Grasses,5.12652193,bulk,57,0.711343575,0.094219758
15,Shrubs,4.237933333,bulk,10,0.859513616,0.271802071
16,C3,5.259907143,bulk,35,0.818303327,0.138318508
17,C4,4.436486667,bulk,25,0.790729603,0.158145921
18,Hardwood,4.904821637,bulk,38,0.666455085,0.108113291
19,Needle,5.326595238,bulk,14,0.39242814,0.104880832
20,Shrub,4.617355556,bulk,15,0.733185943,0.189307796
21,Tree,5.226422222,bulk,40,0.527747171,0.083444154
22,A,0,bulk,0,0,0
23,B,0,bulk,0,0,0
24,C,0,bulk,0,0,0
25,D,0,bulk,0,0,0
26,Total,5.2355362,rhizosphere,558,0.810101854,0.034294346
27,Cropland,5.223433116,rhizosphere,367,0.809915012,0.042277219
28,Forest,5.090225685,rhizosphere,55,0.692961038,0.093438847
29,Grassland,5.142992337,rhizosphere,87,0.788521865,0.084538418
30,Cucurbitaceae,5.187569444,rhizosphere,12,0.833732363,0.240677802
31,Gramineae,5.21778784,rhizosphere,228,0.846621613,0.056068886
32,Leguminosae,5.133865942,rhizosphere,46,0.730365829,0.107686567
33,Solanaceae,5.553285521,rhizosphere,41,0.635859928,0.099304637
34,Dryland,5.297094005,rhizosphere,308,0.790210812,0.04502644
35,Wetland,4.838898305,rhizosphere,59,0.809277051,0.105358898
36,Chemical,5.222714015,rhizosphere,88,0.867738824,0.092501269
37,Organic,5.208205026,rhizosphere,42,0.969693669,0.149626981
38,Forbs,5.675822917,rhizosphere,16,0.550333961,0.13758349
39,Grasses,5.169093567,rhizosphere,57,0.744144905,0.098564401
40,Shrubs,4.454083333,rhizosphere,10,0.825471938,0.261037147
41,C3,5.452390476,rhizosphere,35,0.575732846,0.097316613
42,C4,4.37058,rhizosphere,25,0.760645187,0.152129037
43,Hardwood,4.932717001,rhizosphere,38,0.713419803,0.115731974
44,Needle,5.373988095,rhizosphere,14,0.479502348,0.128152393
45,Shrub,4.525912698,rhizosphere,15,0.902436577,0.233008122
46,Tree,5.301843056,rhizosphere,40,0.451806389,0.071436863
47,A,0,rhizosphere,0,0,0
48,B,0,rhizosphere,0,0,0
49,C,0,rhizosphere,0,0,0
50,D,0,rhizosphere,0,0,0
